Source,Category,Average Calories,Average Fat (g),Average Carbs (g),Average Fiber (g),Average Protein (g),Average Sodium (mg),Average Sugars (g)
Starbucks,Drink,175.65346534653466,,113.43069306930693,0.4207920792079208,5.227722772277228,14.522613065326633,34.79141104294479
Starbucks,Food,261.9183673469388,9.388163265306122,62.20816326530612,1.9306122448979592,9.431836734693878,29.48148148148148,29.189873417721518
McDonald's,Food,405.6521739130435,17.32336956521739,47.30978260869565,1.9619565217391304,15.668478260869565,652.9619565217391,24.532608695652176
McDonald's,Drink,277.7631578947368,6.519736842105263,47.43421052631579,0.8289473684210527,7.697368421052632,115.13157894736842,41.26315789473684
